,Name:,Attacking Prowess:,Ball Control:,Dribbling:,Low Pass:,Lofted Pass:,Finishing:,Place Kicking:,Swerve:,Header:,Defensive Prowess:,Ball Winning:,Kicking Power:,Speed:,Explosive Power:,Unwavering Balance:,Physical Contact:,Jump:,Stamina:
46,['M. ICARDI'],92,83,75,75,65,91,69,77,90,49,48,84,82,80,75,80,91,78
47,['K. KOULIBALY'],62,73,70,75,69,63,60,59,86,92,89,68,86,78,71,95,87,79
48,['K. MBAPPÉ'],86,88,90,79,68,87,60,65,74,60,52,78,91,94,80,68,72,80
49,['L. BONUCCI'],68,75,68,79,85,69,66,65,86,89,90,75,74,70,69,84,84,81
50,['M. BENATIA'],65,71,75,76,73,65,60,64,85,92,90,81,77,73,68,86,85,79
51,['M. HAMŠÍK'],85,88,83,88,84,82,73,81,76,60,64,83,79,76,75,77,76,79
52,['I. RAKITIĆ'],81,87,81,88,90,79,85,88,68,69,72,84,67,67,80,73,61,81
53,['Á. DI MARÍA'],83,85,88,82,88,74,79,88,60,56,57,83,87,89,88,60,60,81
54,['M. PJANIĆ'],68,86,86,90,86,64,91,86,63,74,74,79,74,74,83,68,66,80
55,['E. DŽEKO'],88,84,79,77,73,89,60,74,85,59,57,86,71,73,79,86,71,77
56,['D. MERTENS'],87,88,87,84,78,86,83,86,61,51,47,82,86,90,87,63,65,79
57,['K. MANOLAS'],57,66,56,66,68,58,60,60,87,90,90,64,87,85,75,86,88,85
58,['A. LACAZETTE'],87,84,83,78,68,86,72,77,74,49,52,82,86,83,86,76,76,82
59,['T. MÜLLER'],95,83,79,80,77,83,65,82,85,58,61,80,81,78,77,70,84,92
60,['N. OTAMENDI'],61,71,61,76,73,60,60,61,91,89,92,71,70,68,72,89,93,80
61,['C. IMMOBILE'],92,80,78,77,70,92,66,78,86,43,47,86,84,81,72,81,78,83
62,['KOKE'],80,88,84,88,86,72,79,87,62,62,71,84,71,77,83,74,63,85
63,['D. ALABA'],72,83,82,85,80,60,84,72,72,75,82,80,86,86,75,62,80,86
64,['ISCO'],78,92,95,85,84,77,75,85,60,50,50,76,73,79,88,62,62,83
65,['PAULINHO'],82,82,79,84,79,77,74,78,84,78,78,83,78,78,80,85,88,87
66,['R. VARANE'],50,78,63,74,79,50,60,61,86,92,88,73,87,81,72,86,83,80
67,['ALEX SANDRO'],76,80,82,80,83,68,64,78,76,73,77,82,86,84,76,79,78,88
68,['P. POGBA'],80,86,83,84,85,70,78,80,72,64,65,88,78,75,73,91,85,86
69,['S. MANÉ'],83,85,86,77,71,82,66,73,63,51,55,79,93,94,83,70,73,80
70,['N. FEKIR'],85,86,89,79,80,84,83,80,60,46,49,87,81,82,85,77,64,79
71,['R. MAHREZ'],80,90,90,82,82,81,79,83,60,56,51,80,84,89,87,65,62,78
72,['SAÚL'],80,86,84,88,79,77,64,67,84,77,83,75,76,78,72,77,79,85
73,['BERNARDO SILVA'],82,92,90,84,84,80,70,73,61,50,50,75,80,84,87,60,70,80
74,['ROBERTO FIRMINO'],85,86,86,84,74,84,69,80,72,50,60,80,80,79,81,78,82,88
75,['J. KIMMICH'],66,82,80,85,83,68,69,78,72,78,79,78,76,79,84,70,81,88
76,['V. KOMPANY'],62,73,66,76,69,58,62,64,91,92,92,77,75,70,62,94,80,76
77,['FÀBREGAS'],85,88,81,92,91,74,84,82,73,70,57,80,66,68,76,73,68,76
78,['FILIPE LUIS'],78,83,79,79,84,59,74,79,69,82,86,72,84,80,67,74,66,91
79,['FERNANDINHO'],75,83,78,85,81,71,72,72,66,86,84,84,75,78,82,79,80,86
80,['MIRANDA'],59,75,66,75,67,64,64,64,87,91,90,74,75,72,68,86,84,79
81,['AZPILICUETA'],67,79,70,81,81,56,63,69,77,90,87,70,78,78,83,74,78,91
82,['WILLIAN'],80,87,88,81,80,76,85,86,60,58,59,78,86,91,85,62,58,84
83,['T. ALDERWEIRELD'],65,72,66,79,83,60,69,68,88,91,88,86,71,68,59,83,88,76
84,['H. MKHITARYAN'],83,87,87,83,79,78,66,81,63,64,60,85,84,88,85,65,70,83
85,['N. MATIĆ'],71,81,79,85,83,68,69,70,82,87,87,80,76,72,63,88,72,85
86,['JORDI ALBA'],77,82,80,80,74,73,64,73,62,78,79,64,92,90,76,66,71,86
87,['S. DE VRIJ'],65,76,71,76,76,60,60,69,86,90,87,78,75,72,66,86,82,80
88,['R. NAINGGOLAN'],77,84,79,83,80,76,68,70,64,80,84,84,77,81,83,76,75,94
89,['R. STERLING'],85,86,87,81,75,80,65,69,60,51,54,72,93,95,90,67,65,82
90,['MARQUINHOS'],60,82,74,82,80,57,60,74,83,86,87,72,80,78,77,79,87,76
91,['M. VERRATTI'],71,87,90,86,85,56,64,72,60,79,83,71,74,85,85,73,62,80
92,['F. THAUVIN'],85,86,87,83,85,80,75,83,76,54,53,84,81,88,86,70,70,78
93,['A. LAPORTE'],61,75,67,78,80,58,69,67,86,87,87,77,76,72,65,85,85,82
94,['JORGINHO'],70,85,80,90,86,67,76,76,66,79,79,74,74,78,75,70,68,83
95,['L. SANÉ'],78,86,89,77,81,80,70,75,70,42,42,81,95,92,90,70,60,80
96,['GABRIEL JESUS'],86,84,85,75,65,85,64,75,70,50,47,78,85,90,93,69,76,83
97,['S. M. SAVIĆ'],82,88,84,82,80,77,66,75,85,66,69,85,82,75,70,87,82,82
98,['T. WERNER'],86,77,82,72,60,84,61,68,79,58,57,79,92,94,86,76,85,87
99,['A. BARZAGLI'],63,73,74,77,76,60,58,66,78,94,92,79,77,71,68,86,80,77
100,['PEPE'],65,72,70,75,70,60,62,62,87,90,88,73,78,78,68,90,83,80
101,['HULK'],82,83,83,81,80,82,83,81,66,43,45,95,84,84,61,90,70,80
102,['R. FALCAO'],90,85,75,70,66,89,76,80,86,46,47,80,75,76,75,78,87,74
103,['B. MATUIDI'],72,77,77,83,80,73,63,76,73,86,85,78,79,81,78,77,82,93
104,['M. DEMBÉLÉ'],73,85,86,84,78,65,60,64,68,78,80,85,77,78,73,90,76,82
105,['NALDO'],65,74,67,72,67,66,80,70,91,88,86,95,74,67,66,90,75,82
106,['D. PAYET'],80,88,83,83,88,76,90,87,60,51,50,83,76,80,84,75,62,81
107,['J. VERTONGHEN'],65,76,72,79,76,65,73,63,85,86,88,86,71,73,65,84,83,81
108,['F. FAZIO'],58,72,64,75,75,58,56,59,90,89,89,77,69,66,75,93,77,84
109,['SOKRATIS'],56,67,60,71,68,55,55,63,86,87,90,81,82,77,81,88,80,80
110,['M. MANDŽUKIĆ'],88,74,77,77,77,85,65,72,87,60,67,79,77,73,73,87,82,88
111,['M. BALOTELLI'],86,84,83,78,69,85,77,76,76,52,48,87,82,81,64,85,79,76
112,['A. RAMSEY'],83,85,83,84,82,75,70,72,63,71,72,80,72,73,82,71,69,90
113,['JOSÉ CALLEJÓN'],85,84,81,80,74,82,70,75,65,66,62,80,86,84,75,64,75,93
114,['I. PERIŠIĆ'],83,85,85,81,78,82,76,76,79,59,54,83,86,83,73,74,81,87
115,['O. GIROUD'],86,85,75,80,69,85,67,75,93,52,50,87,67,65,67,92,85,79
116,['DANI PAREJO'],75,89,80,91,87,65,86,82,61,65,65,77,68,72,71,73,67,78
117,['L. KOSCIELNY'],56,72,67,76,70,58,60,57,87,86,89,69,80,79,67,81,87,80
118,['J. CUADRADO'],76,84,87,77,80,73,73,78,73,56,57,84,88,88,80,65,75,84
119,['K. WALKER'],66,75,75,78,75,60,69,71,71,75,79,83,95,88,61,80,80,87
120,['SON HEUNG-MIN'],84,85,86,78,77,84,70,79,65,48,52,83,86,87,76,65,63,82
121,['G. KONDOGBIA'],78,86,78,83,81,74,66,67,77,75,83,88,79,74,75,90,75,85
122,['ÁLVARO MORATA'],86,83,83,78,73,83,64,77,86,44,44,81,86,80,70,80,81,75
123,['LUIZ GUSTAVO'],66,79,77,83,81,62,60,64,78,88,89,77,77,78,80,84,77,85
124,['MARCOS ALONSO'],75,81,78,82,84,73,87,83,80,75,75,84,78,74,62,76,70,90
125,['G. SIGURÐSSON'],78,85,80,83,85,81,90,86,61,63,65,88,74,76,83,73,70,81
126,['M. BATSHUAYI'],85,82,79,76,68,83,61,68,80,49,53,84,85,83,77,85,83,79
127,['ALLAN'],72,81,80,83,76,73,62,65,67,81,88,76,79,82,86,82,75,94
128,['İ. GÜNDOĞAN'],76,87,86,89,82,68,74,80,60,78,69,76,76,79,82,73,67,74
129,['J. DRAXLER'],82,89,88,87,83,81,70,82,61,52,54,83,79,85,80,65,63,75
130,['IAGO ASPAS'],86,84,86,80,68,84,78,82,77,41,51,78,81,85,81,66,69,77
131,['M. DEPAY'],85,84,85,81,78,81,86,83,65,49,51,85,84,82,77,73,70,76
132,['H. ZIYECH'],78,83,82,83,88,74,81,84,65,64,68,83,79,80,81,71,70,82
133,['J. STONES'],63,80,73,82,75,59,57,68,85,87,87,72,76,72,77,82,81,82
134,['JOÃO CANCELO'],73,83,84,77,80,65,66,73,65,73,75,78,87,85,77,73,72,84
135,['DANIEL CARVAJAL'],74,80,79,80,76,48,55,75,65,83,84,65,83,80,80,76,77,87
136,['J. GIMÉNEZ'],60,69,66,74,67,57,59,59,85,87,87,76,77,75,68,86,90,82
137,['W. ZAHA'],88,89,92,72,65,79,55,64,65,65,60,74,89,91,85,75,65,85
138,['L. GORETZKA'],75,85,83,85,76,73,78,77,75,73,77,80,83,80,80,77,72,85
139,['FABINHO'],71,82,75,82,79,71,66,76,75,82,83,73,74,71,72,82,77,84
140,['F. BERNARDESCHI'],79,85,86,79,76,78,81,83,65,51,53,83,83,85,80,76,67,83
141,['T. PARTEY'],77,87,77,83,76,71,61,59,72,82,87,82,76,77,67,82,82,87
142,['MARCO ASENSIO'],82,91,88,85,80,85,77,81,60,50,50,90,82,84,78,60,58,77
143,['D. SÁNCHEZ'],59,75,65,77,69,60,57,60,85,87,90,76,81,76,65,89,83,81
144,['A. RÜDIGER'],58,75,68,77,78,57,61,60,85,87,87,75,82,80,67,86,82,80
145,['D. ALLI'],85,85,82,84,75,80,63,68,72,67,65,76,77,78,69,71,70,88
146,['L. TORREIRA'],66,83,77,85,78,64,76,66,64,86,87,79,75,85,92,68,75,86
147,['M. ŠKRINIAR'],63,73,63,74,70,66,55,57,87,90,86,79,75,70,72,88,83,79
148,['L. BAILEY'],72,81,85,75,73,78,74,78,62,56,59,84,94,96,88,74,80,78
149,['N. SÜLE'],61,69,66,74,71,57,58,65,91,86,90,77,76,71,68,90,80,76
150,['D. DE ROSSI'],70,78,70,82,82,73,69,66,84,84,85,81,69,68,78,84,79,83
151,['ALBIOL'],57,75,64,78,72,64,63,60,85,88,88,75,75,70,73,85,82,77
152,['DANI ALVES'],75,79,78,81,79,70,72,78,60,79,80,83,78,79,79,70,73,77
153,['A. VALENCIA'],72,78,81,76,75,56,60,63,64,79,81,84,88,87,79,84,68,85
154,['JONAS'],85,87,86,79,73,87,75,71,82,42,42,80,76,75,83,76,82,80
155,['L. BIGLIA'],73,84,77,84,83,66,80,74,62,77,78,77,70,75,80,72,65,80
156,['M. ARNAUTOVIĆ'],82,84,84,80,82,80,76,80,75,55,58,82,83,80,73,83,73,81
157,['DAVID LUIZ'],64,78,66,78,78,65,76,70,84,82,85,80,74,71,61,81,83,78
158,['É. BANEGA'],78,87,83,87,83,73,80,76,62,61,65,75,73,78,91,78,64,68
159,['LUCAS LEIVA'],68,78,77,82,81,64,64,70,76,84,80,76,70,73,76,75,83,80
160,['G. WIJNALDUM'],79,83,84,82,76,72,71,75,71,67,65,75,78,79,75,70,79,85
161,['G. BONAVENTURA'],74,84,82,84,82,72,77,78,69,67,70,83,79,80,77,70,69,82
162,['K. STROOTMAN'],73,81,75,84,83,68,79,78,72,82,83,85,79,76,75,84,72,82
163,['J. PASTORE'],77,87,88,86,84,73,72,72,60,57,66,78,77,84,85,65,60,77
164,['S. NZONZI'],70,82,77,84,76,60,60,61,80,84,83,72,77,75,74,89,79,83
165,['S. KHEDIRA'],80,78,77,84,82,76,68,73,78,76,78,83,78,73,67,86,77,83
166,['OSCAR'],81,84,82,83,80,77,79,80,64,57,60,78,76,77,85,60,71,82
167,['B. HÖWEDES'],62,69,68,73,69,63,62,65,86,88,89,80,75,72,68,85,84,77
168,['W. BEN YEDDER'],88,84,86,75,68,87,68,73,68,56,43,76,80,84,80,72,68,74
169,['G. XHAKA'],79,82,72,86,87,66,82,73,67,72,73,91,65,63,71,79,65,83
170,['RODRIGO'],82,87,83,79,69,84,72,76,73,43,41,81,85,85,78,69,74,82
171,['I. GUEYE'],67,78,75,84,80,62,60,54,72,91,84,73,81,83,83,75,80,92
172,['F. GHOULAM'],72,78,75,74,79,64,71,77,72,75,78,82,83,79,73,80,76,86
173,['S. SAVIĆ'],63,74,67,74,78,59,58,60,87,88,87,73,74,72,67,85,86,77
174,['SUSO'],80,89,88,85,83,72,80,85,62,53,52,77,79,82,81,62,62,79
175,['WILLIAN JOSÉ'],85,81,80,77,61,86,73,69,84,49,61,84,77,73,64,89,76,78
176,['A. RABIOT'],79,80,82,81,82,73,58,69,73,78,82,82,76,79,78,84,78,83
177,['A. ROMAGNOLI'],64,70,68,72,72,61,60,67,83,87,89,65,76,73,70,86,83,80
178,['A. MARTIAL'],83,85,87,78,76,82,64,80,69,44,43,82,88,88,80,75,75,77
179,['Y. CARRASCO'],80,87,90,77,78,78,78,79,61,47,51,85,88,90,70,64,67,75
180,['FRED'],71,84,81,84,76,73,77,71,60,81,79,75,85,84,84,65,75,86
181,['VITOLO'],83,87,82,84,76,77,56,75,68,69,60,70,81,84,73,89,60,87
182,['H. HERRERA'],79,81,81,81,78,74,66,74,66,79,81,84,77,76,76,77,74,89
183,['B. MENDY'],75,78,78,79,86,55,56,80,66,78,80,79,84,78,69,81,70,81
184,['C. TOLISSO'],81,80,76,82,80,75,73,65,81,72,73,83,79,77,75,78,84,84
185,['J. BRANDT'],81,86,87,81,76,76,63,74,62,55,54,79,85,83,79,74,69,74
186,['M. GINTER'],67,80,71,83,80,69,57,76,81,87,82,74,77,74,75,79,76,83
187,['LUIS ALBERTO'],76,90,85,85,84,74,85,86,60,51,52,82,73,79,77,66,66,75
188,['Q. PROMES'],79,84,86,81,73,76,80,77,64,53,48,76,86,82,83,65,78,82
189,['TALISCA'],85,80,82,75,75,83,90,89,87,50,50,86,81,80,77,77,78,76
190,['J. VARDY'],85,78,78,67,66,85,65,65,69,49,52,85,91,92,80,71,77,89
191,['N. KEÏTA'],72,81,83,83,76,76,57,62,60,77,78,77,82,85,87,68,67,88
192,['T. LEMAR'],77,84,84,83,79,75,80,80,64,62,62,80,85,87,83,68,70,78
193,['P. KIMPEMBE'],62,73,70,75,73,54,55,76,81,83,84,76,83,74,75,86,87,81
194,['LUCAS VÁZQUEZ'],80,84,85,80,81,77,73,71,60,73,70,71,79,84,72,71,68,80
195,['C. LENGLET'],60,76,62,80,74,57,55,57,85,91,88,65,74,72,70,84,83,83
196,['E. BAILLY'],55,70,65,75,66,55,55,61,84,85,88,65,82,77,73,88,87,81
197,['L. HERNANDEZ'],70,77,68,77,72,57,56,65,84,87,85,72,75,79,68,79,86,81
198,['C. PAVÓN'],76,81,82,76,77,78,70,84,61,61,59,85,90,90,86,65,67,85
199,['GONÇALO GUEDES'],81,83,87,77,78,84,68,78,60,57,55,80,83,85,81,71,60,75
200,['G. LO CELSO'],80,86,85,86,85,78,77,83,60,50,62,75,77,78,88,64,60,80
201,['H. MAGUIRE'],64,78,73,79,74,60,61,62,89,86,89,73,66,65,68,93,79,82
202,['O. DEMBÉLÉ'],77,83,86,78,75,77,65,77,63,56,50,82,90,92,85,67,69,74
203,['RICHARLISON'],82,83,86,73,74,86,64,60,81,59,67,84,88,89,83,84,77,80
204,['H. LOZANO'],81,81,84,75,71,80,68,77,61,53,50,78,90,89,82,67,80,84
205,['HULK'],80,82,82,81,78,82,82,78,65,43,45,94,84,83,60,90,70,80
206,['A. MODESTE'],82,79,76,74,66,85,76,75,85,59,65,83,85,80,65,85,83,74
207,['E. BELÖZOĞLU'],63,89,80,87,91,74,86,88,63,66,78,85,65,72,85,70,74,65
208,['R. QUARESMA'],75,88,90,82,92,70,78,90,60,51,47,81,80,78,77,72,63,75
209,['M. FERNANDES'],75,86,85,82,80,75,82,83,67,61,71,85,75,80,80,74,75,75
210,['M. GÓMEZ'],92,79,77,74,59,87,55,72,86,44,45,85,76,68,66,89,79,73
211,['L. BAINES'],73,79,76,78,80,72,81,83,68,72,75,86,76,77,84,72,72,81
212,['G. CAHILL'],61,68,64,73,66,61,57,63,89,87,89,73,68,67,65,85,87,79
213,['T. WALCOTT'],79,81,83,73,76,80,74,76,63,53,56,77,90,91,83,65,67,80
214,['E. GARAY'],66,78,67,79,79,59,78,68,86,90,83,80,63,61,67,85,77,79
215,['C. MARCHISIO'],67,81,82,84,84,69,65,81,67,77,72,81,74,75,77,69,66,81
216,['NACHO MONREAL'],68,79,75,80,78,64,64,74,69,82,83,73,77,77,76,68,78,85
217,['A. KOLAROV'],70,75,78,75,89,62,85,82,78,78,80,90,73,73,61,76,78,82
218,['MATA'],85,88,84,87,86,80,87,86,66,57,56,79,67,83,88,62,73,76
219,['Y. BRAHIMI'],82,84,86,80,78,78,81,83,64,62,66,76,78,80,79,77,71,76
220,['A. RAMI'],61,70,66,71,73,60,65,63,83,84,86,82,74,70,69,89,81,83
221,['M. SAKHO'],58,72,66,77,74,50,55,66,83,88,85,70,72,74,68,88,85,79
222,['D. ROSE'],68,76,79,75,80,62,62,64,61,81,83,72,85,82,75,72,70,82
223,['A. WITSEL'],76,83,79,84,79,73,70,71,78,70,74,78,76,72,65,80,74,85
224,['TAISON'],77,86,86,82,78,75,74,75,60,49,47,81,88,89,87,64,62,75
225,['L. DE JONG'],84,78,75,75,69,80,70,69,88,60,65,80,78,75,75,85,86,80
226,['PEDRO'],83,85,84,82,78,80,62,82,60,50,52,76,80,84,85,66,68,79
227,['S. EL SHAARAWY'],82,87,84,74,72,76,73,82,62,53,55,74,87,86,81,67,67,76
228,['G. MEDEL'],65,79,70,82,75,64,61,61,69,84,83,76,77,80,87,80,86,87
229,['M. PAROLO'],82,78,78,82,81,76,70,76,82,70,72,85,76,71,66,83,77,86
230,['X. SHAQIRI'],82,84,85,80,78,72,85,82,55,46,48,82,84,88,90,70,60,76
231,['D. PEROTTI'],80,88,87,82,78,68,72,73,64,59,62,75,81,87,78,70,65,78
232,['Š. VRSALJKO'],74,80,75,78,74,64,59,66,64,79,74,75,85,83,80,69,81,84
233,['R. CABELLA'],83,85,85,79,78,76,77,80,63,57,54,75,80,85,86,60,63,79
234,['J. MATIP'],63,73,68,79,76,56,55,68,87,87,88,72,72,66,67,85,76,79
235,['K. GLIK'],55,68,61,71,71,60,56,60,90,90,88,72,70,65,63,90,85,80
236,['C. BAKAMBU'],84,80,78,73,73,83,64,75,80,50,51,83,87,87,70,80,76,79
237,['ILLARRAMENDI'],79,83,77,86,84,70,77,78,61,76,83,70,58,65,75,67,62,80
238,['BARTRA'],61,80,71,81,79,57,55,65,83,84,84,66,80,78,72,76,85,78
239,['NACHO'],61,84,76,78,79,59,56,68,76,87,85,62,82,81,72,84,80,86
240,['J. ILIČIĆ'],83,87,86,82,79,82,83,82,65,43,42,85,77,72,62,78,64,77
241,['SERGI ROBERTO'],75,82,78,84,82,65,66,71,63,76,77,68,81,79,80,74,69,85
242,['LUCAS MOURA'],77,80,86,76,75,77,74,79,60,51,53,80,90,93,80,64,72,75
243,['S. SANÉ'],63,73,66,73,71,60,72,70,89,85,88,78,73,67,62,89,77,79
244,['M. KOVAČIĆ'],72,87,87,88,79,65,71,73,71,63,62,73,78,82,73,75,62,75
245,['DUDU'],82,84,89,73,74,73,67,71,63,44,51,78,87,88,85,64,70,82
246,['Ö. TOPRAK'],61,75,66,75,71,59,55,60,88,84,86,72,79,74,62,85,83,81
247,['FELIPE ANDERSON'],76,86,88,80,78,74,70,70,62,51,53,83,88,92,75,63,60,77
248,['F. ACERBI'],65,74,69,75,76,66,74,64,84,89,87,78,70,68,61,83,81,77
249,['V. WANYAMA'],68,77,77,78,71,66,62,67,76,84,87,82,73,69,71,93,84,87
250,['S. MUSTAFI'],60,72,63,77,71,62,60,62,85,86,86,71,71,69,71,85,85,76
251,['M. NASTASIĆ'],57,69,61,75,75,55,70,69,85,83,86,75,82,77,69,84,84,80
252,['S. ARIAS'],73,77,76,76,70,66,71,72,66,76,74,72,86,85,76,75,77,86
253,['L. DIGNE'],71,76,75,76,82,75,81,68,66,73,75,78,79,77,82,74,75,86
254,['A.O.CHAMBERLAIN'],75,80,85,79,76,73,65,72,60,68,70,80,88,88,88,72,71,84
255,['M. GRADEL'],80,81,86,72,65,80,76,72,63,52,55,82,89,92,78,64,78,76
256,['F. VÁZQUEZ'],80,94,89,84,74,73,72,78,63,50,61,78,69,68,81,72,70,70
257,['L. PAREDES'],71,85,79,85,84,71,79,80,63,66,71,84,69,74,76,68,66,79
258,['J. QUINTERO'],73,86,84,90,93,75,83,92,50,46,52,86,70,81,84,62,56,68
259,['ÉVERTON RIBEIRO'],81,87,88,80,77,75,76,79,65,53,53,77,77,84,88,67,71,79
260,['D. SIDIBÉ'],77,72,73,72,79,64,57,80,69,78,77,72,83,82,72,80,82,85
261,['E. CAN'],75,82,77,82,79,66,66,68,71,79,81,80,77,73,76,85,76,86
262,['A. FLORENZI'],74,78,77,80,76,73,79,75,64,75,76,80,79,81,73,66,73,90
263,['PEDRO GEROMEL'],63,78,73,78,80,63,70,72,76,87,81,75,78,72,75,80,78,78
264,['M. BROZOVIĆ'],73,84,80,84,84,74,78,82,66,69,73,82,74,75,75,65,70,80
265,['E. DIER'],68,75,69,81,82,66,78,69,84,80,83,84,76,72,65,86,81,84
266,['ALEX TELLES'],74,77,77,77,79,70,74,72,68,73,74,72,83,83,76,72,76,77
267,['W. BARRIOS'],62,79,77,79,70,60,58,60,80,88,91,75,84,80,76,87,83,92
268,['D. BENEDETTO'],86,79,78,76,67,84,75,80,78,47,46,88,79,80,84,75,80,76
269,['TRIGUEROS'],68,86,75,89,84,69,68,70,67,65,60,84,75,76,72,77,74,84
270,['E. VIŠĆA'],89,80,81,75,79,81,70,75,60,51,50,84,88,90,86,61,67,85
271,['M. SANSON'],74,81,79,85,82,75,70,71,60,75,72,74,78,79,82,71,68,81
272,['K. BALDÉ'],79,85,84,77,75,80,62,70,63,51,49,78,90,92,77,75,66,75
273,['WILLIAM'],69,82,80,84,86,58,62,79,74,82,86,71,55,50,58,90,69,85
274,['J. SERI'],73,82,80,84,82,68,78,79,60,72,71,77,77,81,81,72,75,80
275,['JOSÉ GAYÁ'],78,82,84,78,73,63,63,70,62,79,75,71,87,88,70,68,58,86
276,['J. LINGARD'],82,82,82,78,73,78,66,78,65,65,60,80,83,86,82,65,65,84
277,['K. TRIPPIER'],75,80,74,78,88,60,82,80,71,75,77,75,76,77,75,65,71,86
278,['HECTOR BELLERÍN'],68,77,77,74,71,62,60,64,61,75,76,62,95,95,78,65,67,86
